Elapsed Time,"DESKTOP-RTUP5B4, LoadTest:Scenario, User Load, _Total","DESKTOP-RTUP5B4, LoadTest:Page, Pages/Sec, _Total","DESKTOP-RTUP5B4, LoadTest:Page, Avg. Page Time, _Total","DESKTOP-RTUP5B4, LoadTest:Errors, Errors/Sec, _Total","DESKTOP-RTUP5B4, LoadTest:Errors, Threshold Violations/Sec, _Total"
0:00,,,,,
0:15,15,7.2,1.455111,0,0
0:30,20,7.2,2.509269,0,0
0:45,30,8.933333,3.006306,0,0
1:00,35,8.666667,3.533431,0,0
1:15,45,6.4,4.352135,0,0
1:30,50,4.733333,9.299338,0,0
1:45,60,4.333333,11.57346,0,0
2:00,65,4.333333,12.28283,0,0
2:15,75,4.133333,13.76489,0,0
2:30,80,4.666667,14.7776,0,0
2:45,90,5.133333,16.00819,0.1333333,0
3:00,95,4.266667,17.3722,0,0
3:15,100,4.6,19.71052,0.06666667,0
3:30,100,3.733333,23.62971,0.06666667,0
3:45,100,4.066667,22.69533,0.2,0
4:00,100,3.8,28.72589,0.3333333,0
